City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
185,faya,18.3851,42.4509,294.44,37,0,2.52,SA,1682317988
186,quatre cocos,-20.2078,57.7625,302.21,74,55,4.49,MU,1682317988
187,darab,28.7519,54.5444,300.68,17,5,2.36,IR,1682317988
188,morgan city,29.6994,-91.2068,290.15,72,40,4.63,US,1682317988
189,maues,-3.3836,-57.7186,295.25,97,100,0.98,BR,1682317989
190,rapid city,44.0805,-103.231,276.89,55,0,2.57,US,1682317757
191,mitzic,0.7821,11.549,296.31,89,95,0.44,GA,1682317989
192,humaita,-7.5061,-63.0208,295.31,98,56,0.71,BR,1682317989
193,monzon,41.9108,0.1941,287.49,55,81,2.38,ES,1682317990
194,ziro,27.6333,93.8333,290.56,64,58,1.4,IN,1682317990
195,ornskoldsvik,63.2909,18.7153,272.68,86,100,4.12,SE,1682317990
196,krasnyy chikoy,50.3643,108.7512,280.82,23,5,3.7,RU,1682317991
197,qaanaaq,77.484,-69.3632,259.72,69,68,3.63,GL,1682317991
198,vestby,59.6024,10.7467,280.87,92,100,1.79,NO,1682317991
199,okha,53.5739,142.9478,274.25,74,9,8.74,RU,1682317879
200,nexo,55.0607,15.1306,282.2,97,100,6.2,DK,1682317992
201,dalvik,65.9702,-18.5286,267.11,67,83,0.87,IS,1682317992
202,butembo,0.15,29.2833,288.67,97,100,0.9,CD,1682317992
203,ixtapa,20.7,-105.2,294.72,88,20,0.0,MX,1682317993
204,kununurra,-15.7667,128.7333,307.14,36,0,3.09,AU,1682317993
205,tasiilaq,65.6145,-37.6368,272.24,96,99,3.81,GL,1682317993
206,ilulissat,69.2167,-51.1,273.16,100,100,1.54,GL,1682317994
207,waingapu,-9.6567,120.2641,302.18,72,33,6.59,ID,1682317994
208,naze,28.3667,129.4833,295.66,81,100,6.87,JP,1682317921
209,hermon,44.8101,-68.9134,280.13,86,100,5.14,US,1682317994
210,nador,35.174,-2.9287,287.29,77,0,0.51,MA,1682317995
211,pontal do parana,-25.6533,-48.5128,291.13,93,41,1.32,BR,1682317995
212,butler,39.4501,-84.5666,276.57,84,75,0.0,US,1682317995
213,airai,-8.9266,125.4092,293.77,75,93,1.86,TL,1682317995
214,cairns,-16.9167,145.7667,302.63,90,75,5.14,AU,1682317813
215,tiksi,71.6872,128.8694,267.19,89,91,3.25,RU,1682317996
216,ekhabi,53.5102,142.9671,274.35,73,8,8.63,RU,1682317996
217,preobrazheniye,42.9019,133.9064,282.91,32,3,7.22,RU,1682317997
218,toktogul,41.8708,72.9402,292.62,35,77,0.68,KG,1682317997
219,ulladulla,-35.35,150.4667,294.13,82,26,3.47,AU,1682317997
220,fort nelson,58.8053,-122.7002,272.92,64,100,6.17,CA,1682317998
221,jiuquan,39.7432,98.5174,290.31,16,96,9.94,CN,1682317838
222,castro,-24.7911,-50.0119,285.43,96,96,2.68,BR,1682317998
223,port arthur,38.8,121.2667,291.27,37,60,3.38,CN,1682317999
224,myitkyina,25.3833,97.4,311.47,20,0,1.94,MM,1682317999
225,deputatskiy,69.3,139.9,267.65,87,100,3.05,RU,1682317999
226,dobryanka,58.4619,56.4165,284.15,53,99,2.24,RU,1682317869
227,catuday,16.2923,119.8062,301.75,68,21,5.17,PH,1682318000
228,tepalcatepec,19.1833,-102.85,297.24,54,72,0.5,MX,1682318000
229,faanui,-16.4833,-151.75,300.5,76,23,2.94,PF,1682318000
230,gazli,40.1333,63.45,303.6,14,9,8.99,UZ,1682318000
231,georgetown,5.4112,100.3354,306.11,66,20,4.12,MY,1682317770
232,menongue,-14.6585,17.691,295.02,72,48,0.9,AO,1682318001
233,iztapa,13.9333,-90.7075,299.77,77,10,2.53,GT,1682318001
234,andenes,69.3143,16.1194,273.14,69,20,4.12,NO,1682318002
235,haines junction,60.7522,-137.5108,269.12,68,100,3.09,CA,1682318002
236,bengkulu,-3.8004,102.2655,302.52,73,91,3.4,ID,1682317840
237,zaton,53.2936,83.8072,290.92,20,75,9.0,RU,1682318003
238,vysokogornyy,50.1167,139.15,274.39,81,100,5.25,RU,1682318003
239,aklavik,68.2191,-135.0107,254.14,95,100,3.72,CA,1682318003
240,bilma,18.6853,12.9164,303.77,8,13,4.62,NE,1682318004
241,tambopata,-12.7333,-69.1833,292.79,89,79,0.85,PE,1682318004
242,puerto leguizamo,-0.1934,-74.7819,295.06,99,100,0.48,CO,1682318004
243,voh,-20.9667,164.7,296.54,87,89,4.11,NC,1682318004
244,souillac,-20.5167,57.5167,302.36,74,40,5.14,MU,1682318004
245,okato,-39.2,173.8833,284.21,100,68,2.39,NZ,1682318005
246,isangel,-19.55,169.2667,301.21,78,75,1.54,VU,1682318005
247,neuquen,-38.9516,-68.0591,288.09,72,0,0.0,AR,1682318005
248,sur,22.5667,59.5289,303.1,61,82,2.74,OM,1682318006
249,vestmanna,62.1564,-7.1664,273.66,64,100,7.2,FO,1682318006
250,obidos,-1.9175,-55.5181,295.98,95,100,0.81,BR,1682318006
251,takoradi,4.8845,-1.7554,300.06,83,100,0.75,GH,1682317802
252,mandalgovi,45.7625,106.2708,277.67,53,100,9.97,MN,1682318007
253,broken hill,-31.95,141.4333,298.13,31,0,4.71,AU,1682317835
254,hami,42.8,93.45,291.98,14,5,4.53,CN,1682318008
255,solginskiy,61.05,41.3428,286.78,56,70,4.15,RU,1682318008
256,fuzhou,26.0614,119.3061,292.09,89,100,1.83,CN,1682318008
257,praya,14.9215,-23.5087,294.45,78,40,6.69,CV,1682318008
258,kauhajoki,62.4333,22.1833,274.32,93,100,2.68,FI,1682318009
259,la ronge,55.1001,-105.2842,276.29,35,75,4.63,CA,1682318010
260,esperance,-33.8667,121.9,295.92,55,85,8.3,AU,1682318011
261,port lincoln,-34.7333,135.8667,293.79,63,0,4.96,AU,1682318011
262,puerto ayora,-0.7393,-90.3518,298.46,93,56,2.24,EC,1682318011
263,cherskiy,68.75,161.3,274.71,65,4,2.6,RU,1682318012
264,horodnytsya,50.807,27.3168,287.06,56,7,4.3,UA,1682318012
265,baghdad,33.3406,44.4009,298.1,50,100,2.06,IQ,1682317854
266,bintulu,3.1667,113.0333,298.38,100,40,1.03,MY,1682318012
267,cape town,-33.9258,18.4232,291.55,97,100,5.14,ZA,1682317855
268,ust-kut,56.7938,105.7672,277.32,52,64,1.99,RU,1682318013
269,tilichiki,60.4667,166.1,272.64,97,100,5.81,RU,1682318013
270,pekalongan,-6.8886,109.6753,302.85,71,20,3.2,ID,1682318013
271,balykshi,47.0667,51.8667,294.15,35,0,9.0,KZ,1682318014
272,nabire,-3.3667,135.4833,302.39,68,11,1.78,ID,1682318014
273,la romana,18.4273,-68.9728,295.44,86,7,3.11,DO,1682318014
274,parry sound,45.3501,-80.033,276.18,93,100,2.24,CA,1682318015
275,tuatapere,-46.1333,167.6833,280.96,81,21,3.42,NZ,1682318015
276,carnarvon,-24.8667,113.6333,296.15,62,84,7.45,AU,1682318016
277,vanimo,-2.6741,141.3028,301.08,82,100,2.59,PG,1682318016
278,ternate,0.8,127.4,302.44,70,36,2.87,ID,1682317941
279,prainha,-1.8,-53.48,295.4,99,81,0.72,BR,1682318017
280,lukovetskiy,64.2956,41.9211,273.47,95,100,2.96,RU,1682318018
281,touros,-5.1989,-35.4608,297.11,90,100,4.62,BR,1682318019
282,cravo norte,6.3017,-70.2041,297.42,87,100,2.61,CO,1682318019
283,zharkent,44.1628,80.0,296.04,12,43,1.78,KZ,1682318019
284,shihezi,44.3,86.0333,293.05,16,9,3.7,CN,1682318019
285,dingle,10.9995,122.6711,305.59,53,97,5.06,PH,1682318020
286,taltal,-25.4,-70.4833,290.05,85,17,0.93,CL,1682318020
287,surgut,61.25,73.4167,272.25,63,75,10.0,RU,1682318020
288,gamba,-2.65,10.0,299.97,83,99,1.69,GA,1682318020
289,palembang,-2.9167,104.7458,306.2,58,40,1.54,ID,1682318010
290,lagoa,39.05,-27.9833,288.71,93,100,5.81,PT,1682318021
291,kavaratti,10.5669,72.642,302.38,67,96,5.69,IN,1682318021
292,commerce city,39.8083,-104.9339,281.26,58,0,5.14,US,1682318021
293,santa fe,-31.6333,-60.7,291.48,85,100,1.34,AR,1682318021
294,doctor mora,21.1417,-100.3125,288.63,75,21,1.67,MX,1682318022
295,ampanihy,-24.7,44.75,298.18,60,33,5.55,MG,1682318022
296,anadyr,64.75,177.4833,267.43,85,40,13.0,RU,1682318022
297,stonewall,50.1344,-97.3268,273.55,76,16,2.07,CA,1682318022
298,atar,20.5169,-13.0499,297.26,25,58,3.9,MR,1682318023
